,Unnamed: 0,fct:id,nyt:id,wof:id,dbp:id,iata:code,faa:code,gn:id,wd:id,fips:code,fb:id,mzb:id,icao:code,wk:page,gp:id,loc:id,qs:id,oa:id,tgn:id,link,wk_page_id
55125,143955,08cb5714-8f76-11e1-848f-cfd5bf3ef515,,85939421.0,,,,4248577.0,Q2273556,1766287.0,,,,"Ruma, Illinois",2485728.0,,1190076.0,,,,
55126,143956,,,85937655.0,,,,5850409.0,Q1902540,1546400.0,,,,"Maalaea, Hawaii",2443603.0,,931911.0,,,,
55127,143957,08c6eac6-8f76-11e1-848f-cfd5bf3ef515,,85941313.0,,,,4260711.0,Q2718176,1844910.0,,,,"Loogootee, Indiana",2441841.0,,688178.0,,,,
55128,143958,08cb2898-8f76-11e1-848f-cfd5bf3ef515,,85939423.0,,,,4248345.0,Q876528,1765221.0,,,,"Rockwood, Illinois",2483580.0,,887517.0,,,,
55129,143959,08c8cf6c-8f76-11e1-848f-cfd5bf3ef515,,85941319.0,,,,4262130.0,Q770993,1853352.0,,,,"New Palestine, Indiana",2458836.0,,887392.0,,,,
55130,143960,08832642-8f76-11e1-848f-cfd5bf3ef515,,85941217.0,,,,4240292.0,Q14635143,1733162.0,,,,"Harrison, Jackson County, Illinois",2418071.0,,1337348.0,,,,
55131,143961,08ce88ee-8f76-11e1-848f-cfd5bf3ef515,,85941323.0,,,,4267019.0,Q1992335,1884302.0,,,,"Wilkinson, Indiana",2520602.0,,22134.0,,,,
55132,143962,08c5ca06-8f76-11e1-848f-cfd5bf3ef515,,85938519.0,,,,4242057.0,Q1723400,1738856.0,,,,"Kampsville, Illinois",2430561.0,,152321.0,,,,
55133,143963,08bed80e-8f76-11e1-848f-cfd5bf3ef515,,85941327.0,,,,4917706.0,Q2598396,1802602.0,,,,"Atlanta, Indiana",2357009.0,,472384.0,,,,
55134,143964,08a9b488-8f76-11e1-848f-cfd5bf3ef515,,85941221.0,,,,4914209.0,Q7858172,1776511.0,,,,"Twin Grove, Illinois",2509113.0,,1327802.0,,,,
55135,143965,08c49f82-8f76-11e1-848f-cfd5bf3ef515,,85938521.0,,,,4240209.0,Q1525427,1732850.0,,,,"Hardin, Illinois",2417417.0,,1048206.0,,,,
55136,143966,08748f56-8f76-11e1-848f-cfd5bf3ef515,,85941223.0,,,,4888560.0,Q1120711,1715950.0,,,,"Como, Illinois",2383834.0,,193846.0,,,,
55137,143967,,,85937663.0,,,,5849718.0,Q2020849,1539500.0,,,,"Kualapuu, Hawaii",2433976.0,,186807.0,,,,
55138,143968,08c20baa-8f76-11e1-848f-cfd5bf3ef515,,85938411.0,,,,4889652.0,Q2668419,1719083.0,,,,"Deer Park, Illinois",2390411.0,,1050348.0,,,,
55139,143969,,,85941227.0,,,,4889008.0,Q575851,1717077.0,,,,"Coyne Center, Illinois",,,1035949.0,,,,
55140,143970,08c78a30-8f76-11e1-848f-cfd5bf3ef515,,85939611.0,,,,4244102.0,Q2428751,1747592.0,,,,"Maunie, Illinois",2446984.0,,1346656.0,,,,
55141,143971,08c2e9e4-8f76-11e1-848f-cfd5bf3ef515,,85939613.0,,,,4237956.0,Q2672405,1724179.0,,,,"Enfield, Illinois",2399624.0,,231366.0,,,,
55142,143972,08c1c0c8-8f76-11e1-848f-cfd5bf3ef515,,85939615.0,,,,4236687.0,Q2671841,1717783.0,,,,"Crossville, Illinois",2387719.0,,887947.0,,,,
55143,143973,08b47fee-8f76-11e1-848f-cfd5bf3ef515,,85941233.0,,,,4900534.0,Q6684163,1744836.0,,,,"Lost Nation, Illinois",28746919.0,,11238.0,,,,
55144,143974,08c25b6e-8f76-11e1-848f-cfd5bf3ef515,,85938763.0,,,,4237312.0,Q575420,1721267.0,,,,"Du Quoin, Illinois",2393933.0,,240131.0,,,,
55145,143975,08b97f08-8f76-11e1-848f-cfd5bf3ef515,,85937177.0,,,,4207981.0,Q2130062,1350036.0,,,,"Martinez, Georgia",2446328.0,,824259.0,,,,
55146,143976,,,85941235.0,,,,8480035.0,Q7241762,,,,,"Prestbury, Illinois",,,,,,,
55147,143977,,N38402821514812012211,85937657.0,Lanai,,,5850059.0,Q3267916,1543700.0,en.lanai,,,"Lanai City, Hawaii",2436045.0,,463731.0,,,,
55148,143978,08c1d432-8f76-11e1-848f-cfd5bf3ef515,,85938765.0,,,,4236768.0,Q1974662,1718225.0,,,,"Cutler, Illinois",2388536.0,,891633.0,,,,
55149,143979,0880d84c-8f76-11e1-848f-cfd5bf3ef515,,85941237.0,,,,4894325.0,Q5594489,1730705.0,,,,"Grand Detour, Illinois",2412779.0,,1335298.0,,,,
55150,143981,089e9e7c-8f76-11e1-848f-cfd5bf3ef515,,85941239.0,,,,4908066.0,Q575847,1765403.0,,,,"Rome, Illinois",2484239.0,,486445.0,,,,
55151,143982,,,85937659.0,,,,5849996.0,Q1012971,1542950.0,,,,"Lahaina, Hawaii",2434660.0,,160108.0,,,,
55152,143983,08c3e718-8f76-11e1-848f-cfd5bf3ef515,,85939129.0,,,,4893700.0,Q576014,1729125.0,,,,"Gibson City, Illinois",2410024.0,,155762.0,,,,
55153,143984,071bc192-8f76-11e1-848f-cfd5bf3ef515,,101810903.0,,,,2870490.0,Q624070,,,,,Mittenaar,675597.0,,1039090.0,,,,
55154,143985,,,101810905.0,,,,2945073.0,Q525612,,,,,Braunfels,640808.0,,475882.0,,,,
